"api_key_label","API-avain"
"shared_secret_label","Jaettu salaisuus"
"checkout_title_label","Kassan otsikko"
"checkout_description_label","Kassan kuvaus"
"cart_threshold_label","Ostoskorin kynnys"
"show_widget_label","Näytä widget"
"widget_minimum_description","Näytä widget vain, jos tuotteen hinta ylittää määritetyn määrän"
"show_widget_description","Näytä kätevä widget rahoitusvaihtoehtoineen tuotesivullasi"
"api_key_description","Rahoituksen tarjoaja toimittaa API-avaimen"
"shared_secret_description","Valinnainen jaettu salaisuus on sovittu koodi, jota käytetään tietojen tarkistamiseen sinun ja rahoittajan välillä"
"debug_label","debug"
"limit_plans_label","Rajasuunnitelmat"
"limit_plans_description","Valitse suunnitelmat, jotka haluat asettaa asiakkaiden saataville"
"cart_threshold_description","Vähimmäismäärä, jonka ostoskorin on oltava kokonaisuudessaan, jotta rahoitus olisi vaihtoehto kassalla"
"debug_description","Debugging Enabled - Ota tämä pois käytöstä tuotannossa"
"plugin_active_label","aktiivinen"
"checkout_title_description","Maksutavan nimi kassalla"
"product_selection_label","Tuotevalinta"
"refine_plans_label","Tarkenna suunnitelmaluetteloa"
"show_all_plans_option","Näytä kaikki suunnitelmat"
"select_specific_plans_option","Valitse tietyt suunnitelmat"
"finance_all_products_option","Kaikki tuotteet"
"finance_specific_products_option","Rahoita erityisiä tuotteita"
"finance_threshold_products_option","Kaikki tuotteet tietyn hinnan yläpuolella"
"sort_order_label","Lajittelujärjestys"
"product_selection_description","Muokkaa, mitä tuotteita voidaan rahoittaa"
"plugin_active_description","Ota rahoitusvaihtoehto käyttöön tai poista se käytöstä kassalla"
"widget_footnote_label","Alaviite"
"widget_button_text_label","Painike teksti"
"widget_button_text_description","Widget-painikkeessa näkyvä teksti"
"widget_footnote_description","Pieni painatus, joka näkyy widgetin lopussa"
"lightbox_option","Lightbox"
"calculator_option","Laskin"
"widget_mode_label","tila"
"widget_mode_description","Näytetäänkö widget heti (laskin) vai kun nappia napsautetaan (lightbox)"
"product_price_threshold_label","Tuotteen hintakynnys"
"product_price_threshold_description","Tuotteen on maksettava vähimmäismäärä, jotta se olisi elinkelpoinen rahoitukselle"
"plugin_title","Maksaa rahoituksella"
"yes","Joo"
"no","Ei"
"plugin_description","Tämän laajennuksen avulla voit hyväksyä rahoitusmaksuja myymälässäsi"
"cart_maximum_label","Ostoskorin enimmäismäärä"
"cart_maximum_description","Enimmäismäärä, jonka ostoskori voi koota, jotta rahoitus olisi vaihtoehto kassalla"
"limit_countries_label","Saatavuus maittain"
"limit_countries_description","Rajoita tämän maksutavan saatavuus tiettyihin maihin"
"availability_all_countries_option","Kaikki maat"
"availability_specific_countries_option","Erityiset maat"
"refine_countries_label","Tarkenna käytettävissä olevia maita"
"empty_countries_error_msg","Valitse ainakin yksi maa"
"order_status_signed_label","Muuta tilauksen tilaa allekirjoitettuaan?"
"automatic_fulfilment_label","Ota automaattinen täyttö käyttöön?"
"automatic_fulfilment_description","Ilmoita luotonantajalle automaattisesti, että tilaus on valmis, kun muutat sen määritettyyn tilaan"
"automatic_fulfilment_status_label","Täytön tila"
"delay_order_creation_label","Viivästytä tilauksen luomista"
"set_invoice_status_label","Aseta laskutettu tila"
"choose_invoice_status_label","Valitse Laskutettu tila"
"delay_order_creation_description","Hitaammilla palvelimilla toimivien myymälöiden tapauksessa lisää viivettä tilauksen luomisen sallimiseksi"
"headless_support_label","Päättömät tuki - kokeellinen"
"headless_support_description","Päättömät myymälävaihtoehdot"
"custom_checkout_url_label","Muokattu kassan URL-osoite"
"custom_redirect_url_label","Muokattu uudelleenohjaus-URL"
"custom_redirect_url_description","Päättömän myymälän uudelleenohjaus-URL"
"custom_checkout_url_description","Päättömän myymälän kassan URL-osoite"
"continue_label","Jatkaa"
